"bird","weight","height","speed","name","habitat","food type","wingspan | lifespan","head color | type","wide winged | rolling on stomach"
"Penguin","12","48","20","Sophie","Galapagos Islands","herbivores","17","Fatcloth","true"
"Swan","10","102","79","Lily ","North America","carnivores","4","Grey","true"
"Penguin","12","137","35","William","New Zealand","herbivores","6","Imperial","false"
"Swan","25","174","66","Oliver","Chile","carnivores","4","Yellow","false"
"Penguin","2","132","23","Heather","Antarctica","carnivores","19","Magellanic","false"
"Swan","14","148","67","Heather","Australia","carnivores","4","Black","true"
"Swan","9","156","69","Mia","North America","herbivores","3","Red","false"
"Swan","23","103","64","Jack","Kola Peninsula","herbivores","2","Grey","true"
"Swan","11","118","63","Heather","South America","carnivores","1","Yellow","false"
"Swan","25","147","67","Mia","Australia","herbivores","2","White","true"
